,V1,V2,IngreNo,IngreSeason,IngreCal,IngreSubCatNo
559,藍苺,13,GB0067,12,0.33,G
560,樹莓,1,GB0068,12,0.33,G
561,醋栗,13,GB0069,12,0.5622222222,G
562,紅醋栗,13,GB0070,12,0.5622222222,G
563,杏桃,39,GB0071,12,0.48,G
564,波蘿蜜,2,GB0072,12,0.9842857143,G
565,越橘,1,GB0073,12,0.8230467883,G
566,甘果,1,GB0074,12,0.8230467883,G
567,燈籠果,1,GB0075,12,0.485,G
568,花椰菜,1209,GC0001,10,0.2344594015,G
569,白花椰菜,105,GC0002,12,0.2344594015,G
570,青花椰苗,8,GC0003,12,0.2344594015,G
