,RcpNo,Rcp_ingreCal,RcpName
526,I00528,443.828761618,義式水煮魚x南極圓鱈
527,I00529,297.21428565,香煎伊比利亞骰子豬
528,I00530,53.307122042,香蕉焦糖核桃起士藍莓貝果
529,I00531,2633.74906817,滷味蘿蔔絲餅
530,I00532,250.814989935,醬炒蛤仔
531,I00533,29.643321794,香蕉巧克力厚片吐司
532,I00534,377.0638288,三杯雞
533,I00535,95931.4409866,豬肉咖喱
534,I00536,496.738386818,香辣湖南蛋
535,I00537,49.7712386922,山茼蒿炒肉絲
536,I00538,509.268516692,小魚烘蛋
537,I00539,1777.74475871,無奶無蛋的蘋果塔
538,I00540,220.688045049,日式泡菜
539,I00541,3087.47021583,古早味蘿蔔糕
540,I00542,1052.97275534,金沙香酥蝦
541,I00543,1939.15621584,土式碎肉鑲茄子
542,I00544,107.231395696,蘑菇鮮味小炒
543,I00545,197.009173476,蒜香豬五花
544,I00546,2562.2638984,草莓烤乳酪蛋糕
545,I00547,791.820860476,韓式鮮甜大醬番茄蠔湯
546,I00548,79.0633608303,自家燻蹄
56290,I00549,400,Chili Chicken香辣甜椒咖哩雞
547,I00550,1386.48084599,臘肉炒鮮蔬
548,I00551,2850.07663179,艦長牛肋咖哩
549,I00552,967.840404277,柯仔煎
550,I00553,1520.75557135,簡易滷牛肚
551,I00554,98.5,香烤豆腐薯條
552,I00555,422.920870791,滑蛋豆腐蓋飯
553,I00556,2475.32549691,草莓白巧克力慕斯塔
554,I00557,722.912290965,酥炸豬肉蔬菜捲
555,I00558,3069.74072341,泰式酸辣雞翼
556,I00559,71.5662157661,香煎蘑菇佐綠蘆筍洋蔥
557,I00560,194.04489454,義式香蒜焗烤蛋
558,I00561,106.837743897,蔥爆里肌
559,I00562,40.212497813,薑汁燒肉
560,I00563,1056.76192286,糖醋排骨
561,I00564,358.8274949,紅燒鰻蓋飯
562,I00565,1437.96549273,橙汁照燒地瓜雞
563,I00566,444.437095204,核桃露
564,I00567,8792.43762167,草莓果醬
565,I00568,525.57658864,簡易大福草莓
566,I00569,507.199191105,蒜蓉蟹肉蒸絲瓜
567,I00570,781.21248284,鹹香下飯~金沙玉米粒
